nome,jogo,time_atual,imagem_url,total_claims,regiao
Asuna,valorant,100 THIEVES,,0,Americas
bang,valorant,100 THIEVES,,0,Americas
Cryo,valorant,100 THIEVES,,0,Americas
Timotino,valorant,100 THIEVES,,0,Americas
Vora,valorant,100 THIEVES,,0,Americas
Jackk,valorant,CLOUD9,,0,Americas
Notexxd,valorant,CLOUD9,,0,Americas
OXY,valorant,CLOUD9,,0,Americas
Xeppaa,valorant,CLOUD9,,0,Americas
Zellsis,valorant,CLOUD9,,0,Americas
Demon1,valorant,ENVY,,0,Americas
Eggsterr,valorant,ENVY,,0,Americas
keznit,valorant,ENVY,,0,Americas
P0PPIN,valorant,ENVY,,0,Americas
Rossy,valorant,ENVY,,0,Americas
bao,valorant,EVIL GENIUSES,,0,Americas
C0M,valorant,EVIL GENIUSES,,0,Americas
dgz,valorant,EVIL GENIUSES,,0,Americas
okeanos,valorant,EVIL GENIUSES,,0,Americas
supamen,valorant,EVIL GENIUSES,,0,Americas
alym,valorant,FURIA,,0,Americas
artziN,valorant,FURIA,,0,Americas
eeiu,valorant,FURIA,,0,Americas
koalanoob,valorant,FURIA,,0,Americas
nerve,valorant,FURIA,,0,Americas
babybay,valorant,G2,,0,Americas
Jawgemo,valorant,G2,,0,Americas
leaf,valorant,G2,,0,Americas
trent,valorant,G2,,0,Americas
valyn,valorant,G2,,0,Americas
Dante,valorant,KRÜ VISA,,0,Americas
Less,valorant,KRÜ VISA,,0,Americas
mwzera,valorant,KRÜ VISA,,0,Americas
Saadhak,valorant,KRÜ VISA,,0,Americas
silentzz,valorant,KRÜ VISA,,0,Americas
blowz,valorant,LEVIATAN,,0,Americas
kiNgg,valorant,LEVIATAN,,0,Americas
Neon,valorant,LEVIATAN,,0,Americas
Sato,valorant,LEVIATAN,,0,Americas
spikeziN,valorant,LEVIATAN,,0,Americas
Bati,valorant,LOUD,,0,Americas
cauanzin,valorant,LOUD,,0,Americas
Darker,valorant,LOUD,,0,Americas
Erde,valorant,LOUD,,0,Americas
luk xo,valorant,LOUD,,0,Americas
Virtyy,valorant,LOUD,,0,Americas
aspas,valorant,MIBR,,0,Americas
Mazino,valorant,MIBR,,0,Americas
tex,valorant,MIBR,,0,Americas
Verno,valorant,MIBR,,0,Americas
zekken,valorant,MIBR,,0,Americas
brawk,valorant,NRG,,0,Americas
Ethan,valorant,NRG,,0,Americas
keiko,valorant,NRG,,0,Americas
mada,valorant,NRG,,0,Americas
Skuba,valorant,NRG,,0,Americas
cortezia,valorant,SENTINELS,,0,Americas
Jerrwin,valorant,SENTINELS,,0,Americas
johnqt,valorant,SENTINELS,,0,Americas
JonahP,valorant,SENTINELS,,0,Americas
reduxx,valorant,SENTINELS,,0,Americas
Victor,valorant,SENTINELS,,0,Americas
Bai,valorant,ALL GAMERS,,0,China
f4ngeer,valorant,ALL GAMERS,,0,China
iamgrq,valorant,ALL GAMERS,,0,China
K1ra,valorant,ALL GAMERS,,0,China
Septem7,valorant,ALL GAMERS,,0,China
Shr1mp,valorant,ALL GAMERS,,0,China
youze,valorant,ALL GAMERS,,0,China
bud,valorant,BILIBILI GAMING,,0,China
Knight,valorant,BILIBILI GAMING,,0,China
nephh,valorant,BILIBILI GAMING,,0,China
rushia,valorant,BILIBILI GAMING,,0,China
whzy,valorant,BILIBILI GAMING,,0,China
yilai,valorant,BILIBILI GAMING,,0,China
Flex1n,valorant,DRAGON RANGER GAMING,,0,China
Life,valorant,DRAGON RANGER GAMING,,0,China
Nicc,valorant,DRAGON RANGER GAMING,,0,China
SpiritZ1,valorant,DRAGON RANGER GAMING,,0,China
vo0kashu,valorant,DRAGON RANGER GAMING,,0,China
cb,valorant,EDWARD GAMING,,0,China
CHICHOO,valorant,EDWARD GAMING,,0,China
Jieni7,valorant,EDWARD GAMING,,0,China
nobody,valorant,EDWARD GAMING,,0,China
Smoggy,valorant,EDWARD GAMING,,0,China
Zmjjkk,valorant,EDWARD GAMING,,0,China
AAAAY,valorant,FUNPLUS PHOENIX,,0,China
Ben1Ley,valorant,FUNPLUS PHOENIX,,0,China
BerLIN,valorant,FUNPLUS PHOENIX,,0,China
KovaQ,valorant,FUNPLUS PHOENIX,,0,China
Setrod,valorant,FUNPLUS PHOENIX,,0,China
coconut,valorant,JDG ESPORTS,,0,China
jkuro,valorant,JDG ESPORTS,,0,China
kklin,valorant,JDG ESPORTS,,0,China
stew,valorant,JDG ESPORTS,,0,China
Yuicaw,valorant,JDG ESPORTS,,0,China
zhe,valorant,JDG ESPORTS,,0,China
Ezeir,valorant,NOVA ESPORTS,,0,China
Green,valorant,NOVA ESPORTS,,0,China
GuanG,valorant,NOVA ESPORTS,,0,China
heybay,valorant,NOVA ESPORTS,,0,China
Kodeth,valorant,NOVA ESPORTS,,0,China
OBONE,valorant,NOVA ESPORTS,,0,China
qiutiaN,valorant,NOVA ESPORTS,,0,China
swagzor,valorant,NOVA ESPORTS,,0,China
Coco,valorant,TITAN ESPORTS CLUB,,0,China
Dynamite,valorant,TITAN ESPORTS CLUB,,0,China
Haodong,valorant,TITAN ESPORTS CLUB,,0,China
lucas,valorant,TITAN ESPORTS CLUB,,0,China
Spitfires,valorant,TITAN ESPORTS CLUB,,0,China
Abo,valorant,TRACE ESPORTS,,0,China
DeLb,valorant,TRACE ESPORTS,,0,China
FengF,valorant,TRACE ESPORTS,,0,China
Kai,valorant,TRACE ESPORTS,,0,China
LuoK1ng,valorant,TRACE ESPORTS,,0,China
Viva,valorant,TRACE ESPORTS,,0,China
Xlele,valorant,TRACE ESPORTS,,0,China
Erv,valorant,TYLOO GAMING,,0,China
Scales,valorant,TYLOO GAMING,,0,China
slowly,valorant,TYLOO GAMING,,0,China
Splash,valorant,TYLOO GAMING,,0,China
Sword9,valorant,TYLOO GAMING,,0,China
glacier,valorant,WOLVES ESPORTS,,0,China
jowa,valorant,WOLVES ESPORTS,,0,China
SiuFatBB,valorant,WOLVES ESPORTS,,0,China
Spring,valorant,WOLVES ESPORTS,,0,China
yosemite,valorant,WOLVES ESPORTS,,0,China
happywei,valorant,XI LAI GAMING,,0,China
Lysoar,valorant,XI LAI GAMING,,0,China
NoMan,valorant,XI LAI GAMING,,0,China
Rarga,valorant,XI LAI GAMING,,0,China
WsLeo,valorant,XI LAI GAMING,,0,China
Crewen,valorant,BBL ESPORTS,,0,EMEA
Lar0k,valorant,BBL ESPORTS,,0,EMEA
Loita,valorant,BBL ESPORTS,,0,EMEA
lovers rock,valorant,BBL ESPORTS,,0,EMEA
Rosé,valorant,BBL ESPORTS,,0,EMEA
audaz,valorant,Eternal Fire,,0,EMEA
echo,valorant,Eternal Fire,,0,EMEA
Favian,valorant,Eternal Fire,,0,EMEA
Izzy,valorant,Eternal Fire,,0,EMEA
nekky,valorant,Eternal Fire,,0,EMEA
Alfajer,valorant,FNATIC,,0,EMEA
Boaster,valorant,FNATIC,,0,EMEA
crashies,valorant,FNATIC,,0,EMEA
CyvOph,valorant,FNATIC,,0,EMEA
Desmo,valorant,FNATIC,,0,EMEA
Kaajak,valorant,FNATIC,,0,EMEA
KROSTALY,valorant,FUT ESPORTS,,0,EMEA
s0pp,valorant,FUT ESPORTS,,0,EMEA
sociablEE,valorant,FUT ESPORTS,,0,EMEA
xeus,valorant,FUT ESPORTS,,0,EMEA
yetujey,valorant,FUT ESPORTS,,0,EMEA
bipo,valorant,Gentle Mates,,0,EMEA
GLYPH,valorant,Gentle Mates,,0,EMEA
marteen,valorant,Gentle Mates,,0,EMEA
Minny,valorant,Gentle Mates,,0,EMEA
starxo,valorant,Gentle Mates,,0,EMEA
ara,valorant,GiantX,,0,EMEA
Cloud,valorant,GiantX,,0,EMEA
Flickless,valorant,GiantX,,0,EMEA
GRUBINHO,valorant,GiantX,,0,EMEA
westside,valorant,GiantX,,0,EMEA
Avez,valorant,KARMINE CORP,,0,EMEA
dos9,valorant,KARMINE CORP,,0,EMEA
LewN,valorant,KARMINE CORP,,0,EMEA
N4RRATE,valorant,KARMINE CORP,,0,EMEA
Sheydos,valorant,KARMINE CORP,,0,EMEA
suygetsu,valorant,KARMINE CORP,,0,EMEA
ZE1SH,valorant,KARMINE CORP,,0,EMEA
chloric,valorant,NAVI,,0,EMEA
ComeBack,valorant,NAVI,,0,EMEA
ExiT,valorant,NAVI,,0,EMEA
Filu,valorant,NAVI,,0,EMEA
Hiro,valorant,NAVI,,0,EMEA
Ruxic,valorant,NAVI,,0,EMEA
Shao,valorant,NAVI,,0,EMEA
al0rante,valorant,PCIFIC,,0,EMEA
cNed,valorant,PCIFIC,,0,EMEA
NINJA,valorant,PCIFIC,,0,EMEA
